329	3534591073862641924.wav	Вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд.	вай соли 1945 ба даста шомил шуд ва то соли 1958 да ҳамин тим монд	в а й | с о л и | 1 9 4 5 | б а | д а с т а | ш о м и л | ш у д | в а | т о | с о л и | 1 9 5 8 | д а | ҳ а м и н | т и м | м о н д |	117120	MALE
901	8251130184040723659.wav	Мушкилот дар он аст, ки барф часпак аст, аз ин лиҳоз баҳри фуровардани он баъзан теладиҳиро ба кор бурдан лозим аст ва баъзе барфҳои ба замин афтода метавонанд теладиҳии барфҳои боқимондаро ба амал оранд.	мушкилот дар он аст ки барф часпак аст аз ин лиҳоз баҳри фуровардани он баъзан теладиҳиро ба кор бурдан лозим аст ва баъзе барфҳои ба замин афтода метавонанд теладиҳии барфҳои боқимондаро ба амал оранд	м у ш к и л о т | д а р | о н | а с т | к и | б а р ф | ч а с п а к | а с т | а з | и н | л и ҳ о з | б а ҳ р и | ф у р о в а р д а н и | о н | б а ъ з а н | т е л а д и ҳ и р о | б а | к о р | б у р д а н | л о з и м | а с т | в а | б а ъ з е | б а р ф ҳ о и | б а | з а м и н | а ф т о д а | м е т а в о н а н д | т е л а д и ҳ и и | б а р ф ҳ о и | б о қ и м о н д а р о | б а | а м а л | о р а н д |	268800	FEMALE
252	3567645086421326971.wav	Теъдоди қурбониён ҳадди ақалл 15 нафар аст ва афзуншавии рақами мазкур дар назар аст.	теъдоди қурбониён ҳадди ақалл 15 нафар аст ва афзуншавии рақами мазкур дар назар аст	т е ъ д о д и | қ у р б о н и ё н | ҳ а д д и | а қ а л л | 1 5 | н а ф а р | а с т | в а | а ф з у н ш а в и и | р а қ а м и | м а з к у р | д а р | н а з а р | а с т |	107520	FEMALE
54	18281752769586921067.wav	Мурофиа ҳамчунин санаи ҳуқуқи гумонбар барои мурофиаи фавриро муайян мекунад.	мурофиа ҳамчунин санаи ҳуқуқи гумонбар барои мурофиаи фавриро муайян мекунад	м у р о ф и а | ҳ а м ч у н и н | с а н а и | ҳ у қ у қ и | г у м о н б а р | б а р о и | м у р о ф и а и | ф а в р и р о | м у а й я н | м е к у н а д |	108480	MALE
569	14770430130464494502.wav	Конструксияҳои гуногун имкониятҳои ҳархела доранд, ба мавҷҳои гуногун ҳасосанд ва соҳиби дараҷаи ҳархелаи ҳассосӣ доранд, инчунин коркарди гуногунро талаб менамоянд, то ин ки маълумотҳои воридшуда ва рақамҳои гуногунро барои кори оптималӣ дарк намоянд.	конструксияҳои гуногун имкониятҳои ҳархела доранд ба мавҷҳои гуногун ҳасосанд ва соҳиби дараҷаи ҳархелаи ҳассосӣ доранд инчунин коркарди гуногунро талаб менамоянд то ин ки маълумотҳои воридшуда ва рақамҳои гуногунро барои кори оптималӣ дарк намоянд	к о н с т р у к с и я ҳ о и | г у н о г у н | и м к о н и я т ҳ о и | ҳ а р х е л а | д о р а н д | б а | м а в ҷ ҳ о и | г у н о г у н | ҳ а с о с а н д | в а | с о ҳ и б и | д а р а ҷ а и | ҳ а р х е л а и | ҳ а с с о с ӣ | д о р а н д | и н ч у н и н | к о р к а р д и | г у н о г у н р о | т а л а б | м е н а м о я н д | т о | и н | к и | м а ъ л у м о т ҳ о и | в о р и д ш у д а | в а | р а қ а м ҳ о и | г у н о г у н р о | б а р о и | к о р и | о п т и м а л ӣ | д а р к | н а м о я н д |	353280	FEMALE
668	12193267190966540192.wav	Бисёр чиптаҳо ба воситаи вебсайтҳои музояда, ба монанди eBay ё Craigslist онлайн фурӯхта шуда, қисман ҳамчун чиптаҳои бисёррӯзаи «park-hopper» истифода мегарданд.	бисёр чиптаҳо ба воситаи вебсайтҳои музояда ба монанди ebay ё craigslist онлайн фурӯхта шуда қисман ҳамчун чиптаҳои бисёррӯзаи «park-hopper» истифода мегарданд	б и с ё р | ч и п т а ҳ о | б а | в о с и т а и | в е б с а й т ҳ о и | м у з о я д а | б а | м о н а н д и | e b a y | ё | c r a i g s l i s t | о н л а й н | ф у р ӯ х т а | ш у д а | қ и с м а н | ҳ а м ч у н | ч и п т а ҳ о и | б и с ё р р ӯ з а и | « p a r k - h o p p e r » | и с т и ф о д а | м е г а р д а н д |	262080	FEMALE
230	5601551331063166675.wav	Ин назария ба даъвое, ки гӯё моҳ аз фаъолияти геологӣ комилан холӣ аст, мухолиф аст.	ин назария ба даъвое ки гӯё моҳ аз фаъолияти геологӣ комилан холӣ аст мухолиф аст	и н | н а з а р и я | б а | д а ъ в о е | к и | г ӯ ё | м о ҳ | а з | ф а ъ о л и я т и | г е о л о г ӣ | к о м и л а н | х о л ӣ | а с т | м у х о л и ф | а с т |	130560	MALE
1111	15841503930516700746.wav	Аз ҳамон вақт Адекоя дар суди Шерифи Эдинбург қарор дорад, ки дар куштори писараш айдбдор карда шудааст.	аз ҳамон вақт адекоя дар суди шерифи эдинбург қарор дорад ки дар куштори писараш айдбдор карда шудааст	а з | ҳ а м о н | в а қ т | а д е к о я | д а р | с у д и | ш е р и ф и | э д и н б у р г | қ а р о р | д о р а д | к и | д а р | к у ш т о р и | п и с а р а ш | а й д б д о р | к а р д а | ш у д а а с т |	201600	FEMALE
1087	11426105010123240593.wav	Паланг дар як гурӯҳ (Genus Panthera) бо шерҳо, леопардҳо ва ягуарҳо дохил мебошад. Ин чор гурба ягона гурбаҳое ба ҳисоб мераванд, ки наъра зада метавонанд.	паланг дар як гурӯҳ genus panthera бо шерҳо леопардҳо ва ягуарҳо дохил мебошад. ин чор гурба ягона гурбаҳое ба ҳисоб мераванд ки наъра зада метавонанд	п а л а н г | д а р | я к | г у р ӯ ҳ | g e n u s | p a n t h e r a | б о | ш е р ҳ о | л е о п а р д ҳ о | в а | я г у а р ҳ о | д о х и л | м е б о ш а д . | и н | ч о р | г у р б а | я г о н а | г у р б а ҳ о е | б а | ҳ и с о б | м е р а в а н д | к и | н а ъ р а | з а д а | м е т а в о н а н д |	199680	FEMALE
1296	3226057717567684331.wav	Пули дарёи Ояпок пули танобии овезон мебошад. Он дарёи Ояпокро фаро гирифта, шаҳрҳои Ояпок дар Бразилия бо Сен-Жорж де л’Ояпокро дар Гвианаи Фаронса мепайвандад.	пули дарёи ояпок пули танобии овезон мебошад он дарёи ояпокро фаро гирифта шаҳрҳои ояпок дар бразилия бо сен-жорж де л'ояпокро дар гвианаи фаронса мепайвандад	п у л и | д а р ё и | о я п о к | п у л и | т а н о б и и | о в е з о н | м е б о ш а д | о н | д а р ё и | о я п о к р о | ф а р о | г и р и ф т а | ш а ҳ р ҳ о и | о я п о к | д а р | б р а з и л и я | б о | с е н - ж о р ж | д е | л ' о я п о к р о | д а р | г в и а н а и | ф а р о н с а | м е п а й в а н д а д |	286080	FEMALE
280	17901251301615587121.wav	Ҳамун ғолиби штатҳо, Флорида ҳамаи панҷоҳ вакилонашро ба Ромни пешниҳод кард ва ин боис гардид, ки ӯ пешсафи Ҳизби ҷумҳурихоҳ гардид.	ҳамун ғолиби штатҳо флорида ҳамаи панҷоҳ вакилонашро ба ромни пешниҳод кард ва ин боис гардид ки ӯ пешсафи ҳизби ҷумҳурихоҳ гардид	ҳ а м у н | ғ о л и б и | ш т а т ҳ о | ф л о р и д а | ҳ а м а и | п а н ҷ о ҳ | в а к и л о н а ш р о | б а | р о м н и | п е ш н и ҳ о д | к а р д | в а | и н | б о и с | г а р д и д | к и | ӯ | п е ш с а ф и | ҳ и з б и | ҷ у м ҳ у р и х о ҳ | г а р д и д |	227520	FEMALE
